feature,importance,mean_weight
cat_gas_transport,0.08204695029136433,-0.07634432220378938
job_enc,0.05479671316242549,-0.014263813268532495
cat_grocery_pos,0.03477379178544205,-0.028919151870259303
amt,0.019202412193459913,0.0006410314000812354
merchant_enc,0.014699909458013272,0.00448666944304627
hour_cos,0.01345703959481711,-0.0009381787347002854
cat_shopping_pos,0.013144104842465783,0.009980906146370275
cat_shopping_net,0.010526249348840323,0.0077238228660765984
cat_food_dining,0.010060670238241665,0.008827405729399947
cat_grocery_net,0.009076400494570978,-0.0008630786867745824
cat_travel,0.009072064553159035,0.008291371642115623
cat_misc_net,0.007903164732751438,0.006264398726294339
cat_personal_care,0.007345773858835404,0.00380326271787471
cat_health_fitness,0.007333939541150767,0.005151001886867747
cat_misc_pos,0.00676574798677079,0.0038544322313313604
cat_home,0.0062674588055517825,0.0036949146993474806
cat_kids_pets,0.005939827920519928,0.003240919743969314
city_pop_log,0.004784520044147215,-0.00035981504801929366
day_of_week,0.00444620351861247,-2.7766092850153075e-06
hour,0.0041756900286807844,-0.00022409786952098248
month,0.004022325907874896,-0.00013281385077248853
hour_sin,0.0039139859245938095,0.0010653191386593422
distance,0.0037279544034119778,0.0007874955418589575
amt_log,0.003574022933089641,-0.0005922760066911207
age,0.003200527281624331,0.00036925371947588257
is_weekend,0.0031158551314491496,0.0005866754284690879
gender_enc,0.003095692437695756,0.00027290817934399336
