model,auc_roc,auc_prc,f1_score,mcc,precision,recall,specificity,tp,fp,tn,fn,detection_rate_1pct,detection_rate_5pct,detection_rate_10pct
xgboost,0.9880052773637955,0.855206793015419,0.6339794754846066,0.6559930339462665,0.5009009009009009,0.8633540372670807,0.9966640974998796,278,277,82759,44,0.8819875776397516,0.9347826086956522,0.9627329192546584
lightgbm,0.9791897490245196,0.8657840697548089,0.691358024691358,0.7050206815918395,0.5737704918032787,0.8695652173913043,0.997495062382581,280,208,82828,42,0.8913043478260869,0.922360248447205,0.9347826086956522
random_forest,0.9896605685358651,0.8177195892568991,0.4991119005328597,0.5498809024727185,0.34950248756218905,0.8726708074534162,0.9937015270485091,281,523,82513,41,0.8726708074534162,0.937888198757764,0.9658385093167702
logistic,0.969725471164344,0.16453524487835483,0.0930460333006856,0.19951793835872372,0.04910406616126809,0.8850931677018633,0.9335348523531962,285,5519,77517,37,0.5559006211180124,0.8478260869565217,0.9161490683229814
